rank,stage,hostile_rank,source,openalex_id,arxiv_id,doi,title,year,venue,authors,url,cited_by_count,relevance_score,cluster,query_hits,abstract,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
50,hostile_100+deep_225+serious_300+landscape_1000,50,OpenAlex,https://openalex.org/W2984756091,,10.1109/lra.2020.2965875,Object-Centric Task and Motion Planning in Dynamic Environments,2020,IEEE Robotics and Automation Letters,Toki Migimatsu; Jeannette Bohg,https://doi.org/10.1109/lra.2020.2965875,65,31.103,long-horizon manipulation and rearrangement,TAMP robot manipulation planning | task and motion planning robotics,"We address the problem of applying Task and Motion Planning (TAMP) in real world environments. TAMP combines symbolic and geometric reasoning to produce sequential manipulation plans, typically specified as joint-space trajectories, which are valid only as long as the environment is static and perception and control are highly accurate. In case of any changes in the environment, slow re-planning is required. We propose a TAMP algorithm that optimizes over Cartesian frames defined relative to target objects. The resulting plan then remains valid even if the objects are moving and can be executed by reactive controllers that adapt to these changes in real time. We apply our TAMP framework to a torque-controlled robot in a pick and place setting and demonstrate its ability to adapt to changing environments, inaccurate perception, and imprecise control, both in simulation and the real world.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
51,hostile_100+deep_225+serious_300+landscape_1000,51,OpenAlex,https://openalex.org/W7163821705,,10.1007/978-3-032-22607-5_2,Planning Non-repetitive Robotic Assembly Processes with Task and Motion Planning (TAMP),2026,,Pok Yin Victor Leung; Yijiang Huang; Caelan Garret; Fabio Gramazio; Matthias Kohler,https://doi.org/10.1007/978-3-032-22607-5_2,0,30.6,sampling-based TAMP,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"Abstract Many recent examples of robotic construction are still planned using separate task and motion planning approaches. This separation makes it hard to create efficient action sequences, especially for non-repetitive assembly processes. This paper introduces Task and Motion Planning (TAMP) as a more advanced planning approach that integrates task planning and motion planning to optimize action sequences while ensuring collision-free robotic trajectories. We demonstrate the benefit of TAMP by applying it on a robotically constructed timber pavilion that can benefit from an optimized tool change sequence. Robotic execution time was collected from the actual construction, and the results show an estimated 16% reduction in execution time using TAMP compared to traditional task planning approaches like flowcharts. Our TAMP implementation relies on the Planning Domain Definition Language (PDDL) and the PDDLStream solver. The system allows a flexible approach to model actions and dependency and creates validation checks, such as collision. We explain our incremental programming approach for modeling assembly problems with PDDL. This approach can serve as a general guideline for applying TAMP to other robotic assembly problems. It will also promote the creation of modular and reusable code. Finally, we discuss the flexibility of TAMP with PDDLStream, its limitations, and future research opportunities.",How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
52,hostile_100+deep_225+serious_300+landscape_1000,52,OpenAlex,https://openalex.org/W4297206192,,10.48550/arxiv.1802.08705,PDDLStream: Integrating Symbolic Planners and Blackbox Samplers via\n Optimistic Adaptive Planning,2018,arXiv (Cornell University),Caelan Reed Garrett; Tomas LozanoPerez; Leslie Pack Kaelbling,http://arxiv.org/abs/1802.08705,1,30.509,sampling-based TAMP,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning,"Many planning applications involve complex relationships defined on\nhigh-dimensional, continuous variables. For example, robotic manipulation\nrequires planning with kinematic, collision, visibility, and motion constraints\ninvolving robot configurations, object poses, and robot trajectories. These\nconstraints typically require specialized procedures to sample satisfying\nvalues. We extend PDDL to support a generic, declarative specification for\nthese procedures that treats their implementation as black boxes. We provide\ndomain-independent algorithms that reduce PDDLStream problems to a sequence of\nfinite PDDL problems. We also introduce an algorithm that dynamically balances\nexploring new candidate plans and exploiting existing ones. This enables the\nalgorithm to greedily search the space of parameter bindings to more quickly\nsolve tightly-constrained problems as well as locally optimize to produce\nlow-cost solutions. We evaluate our algorithms on three simulated robotic\nplanning domains as well as several real-world robotic tasks.\n",How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
53,hostile_100+deep_225+serious_300+landscape_1000,53,OpenAlex,https://openalex.org/W7160457828,,,Optimizing Trajectory-Trees in Belief Space: An Application from Model Predictive Control to Task and Motion Planning,2026,ArXiv.org,Camille Phiquepal; Marc Toussaint,https://arxiv.org/abs/2605.01860,0,30.4,optimization / geometric-constraint TAMP,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning,"This paper explores the benefits of computing arborescent trajectories (trajectory-trees) instead of commonly used sequential trajectories for partially observable robotic planning problems. In such environments, a robot infers knowledge from observations, and the optimal course of action depends on these observations. \revise(Trajectory-trees, optimized in belief space, naturally capture this dependency by branching where the belief state is expected to evolve into multiple distinct scenarios, such as upon receiving an observation. Unlike sequential trajectories, which model a single forward evolution of the system, trajectory-trees capture multiple possible contingencies.) First, we focus on Model Predictive Control (MPC) and demonstrate the benefits of planning tree-like trajectories. We formulate the control problem as the optimization of a tree with a single branching (PO-MPC). This improves performance by reducing control costs through more informed planning. To satisfy the real-time constraints of MPC, we develop an optimization algorithm called Distributed Augmented Lagrangian (D-AuLa), which leverages the decomposability of the PO-MPC formulation to parallelize and accelerate the optimization. We apply the method to both linear and non-linear MPC problems using autonomous driving examples. Second, we address Task And Motion Planning (TAMP), and introduce a planner (PO-LGP) reasoning on decision trees at task level, and trajectory-trees at motion-planning level. This approach builds upon the Logic-Geometric-Programming Framework (LGP) and extends it to partially observable problems. The experiments show the method's applicability to problems with a small belief state size, and scales to larger problems by optimizing explorative policies, which are used as mac...",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
54,hostile_100+deep_225+serious_300+landscape_1000,54,OpenAlex,https://openalex.org/W3163019889,,10.3389/frobt.2021.637888,Combining Task and Motion Planning: Challenges and Guidelines,2021,Frontiers in Robotics and AI,Masoumeh Mansouri; Federico Pecora; Peter Schuller,https://doi.org/10.3389/frobt.2021.637888,28,30.388,motion planning substrate,A Constraint-Based Approach to Integrated Task and Motion Planning | Hierarchical Task and Motion Planning in the Now | Integrated Task and Motion Planning in Belief Space | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | Planning Algorithms LaValle motion planning | TAMP robot manipulation planning | integrated task and motion planning manipulation,"Combined Task and Motion Planning (TAMP) is an area where no one-fits-all solution can exist. Many aspects of the domain, as well as operational requirements, have an effect on how algorithms and representations are designed. Frequently, trade-offs have to be made to build a system that is effective. We propose five research questions that we believe need to be answered to solve real-world problems that involve combined TAMP. We show which decisions and trade-offs should be made with respect to these research questions, and illustrate these on examples of existing application domains. By doing so, this article aims to provide a guideline for designing combined TAMP solutions that are adequate and effective in the target scenario.",How to solve motion planning substrate problems for robot or embodied agents under long-horizon constraints.,"Introduces a planning, control, or robot reasoning mechanism related to long-horizon decision making.",The abstraction used by the planner is sufficiently faithful during execution.,"State variables, actions, observation model, and cost semantics.",Physical branch conditions not represented in the planning abstraction.,"General planning substrate, terminology, or benchmark context.",Physically grounded branch conditions embedded directly in task-motion skeletons.
55,hostile_100+deep_225+serious_300+landscape_1000,55,OpenAlex,https://openalex.org/W4403526028,,10.1016/j.jmsy.2024.09.010,Robotic disassembly for end-of-life products focusing on task and motion planning: A comprehensive survey,2024,Journal of Manufacturing Systems,Mohammed Eesa Asif; Alireza Rastegarpanah; Rustam Stolkin,https://doi.org/10.1016/j.jmsy.2024.09.010,27,30.332,motion planning substrate,Hierarchical Task and Motion Planning in the Now | Integrated Task and Motion Planning in Belief Space | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | PDDLStream robotics planning | Robotics Task and Motion Planning A Survey | TAMP robot manipulation planning | conditional planning robotics manipulation | integrated task and motion planning manipulation | logic geometric programming robot planning | long horizon robot manipulation planning | robot rearrangement planning long horizon | task and motion planning robotics,"The rise of mass production and the resulting accumulation of end-of-life (EoL) products present a growing challenge in waste management and highlight the need for efficient resource recovery. In response to this challenge, robotic disassembly has emerged as a vital tool for the circular economy. Combining accuracy, adaptability, and the potential for handling hazardous materials offers a sustainable solution for dismantling complex EoL objects. This comprehensive survey delves into the motivations for robotic disassembly and the pivotal role of task and motion planning (TAMP) in optimising disassembly processes. It analyses the evolution of disassembly strategies, from conventional methods to those driven by cutting-edge artificial intelligence (AI) techniques, for the future of waste management. Additionally, the survey explores several case study applications, focusing on the disassembly of EV lithium-ion batteries. It highlights how TAMP and AI integration can bolster adaptability, safety, and informed decision-making within real-world disassembly challenges. Finally, the review examines promising future research directions in robotics that hold the potential to advance further improvement in robotic disassembly to increase sustainability and the responsible management of EoL products.",How to solve motion planning substrate problems for robot or embodied agents under long-horizon constraints.,Organizes and categorizes prior methods rather than introducing one executable mechanism.,The abstraction used by the planner is sufficiently faithful during execution.,"State variables, actions, observation model, and cost semantics.",Physical branch conditions not represented in the planning abstraction.,The field taxonomy and known limitation map.,Physically grounded branch conditions embedded directly in task-motion skeletons.
56,hostile_100+deep_225+serious_300+landscape_1000,56,OpenAlex,https://openalex.org/W1481356306,,10.1177/0278364911406761,Sampling-based algorithms for optimal motion planning,2011,The International Journal of Robotics Research,Sertac Karaman; Emilio Frazzoli,https://doi.org/10.1177/0278364911406761,198,30.269,motion planning substrate,Planning Algorithms LaValle motion planning | Probabilistic Roadmaps for Path Planning in High-Dimensional Configuration Spaces | Robotics Task and Motion Planning A Survey | Sampling-based algorithms for optimal motion planning,"During the last decade, sampling-based path planning algorithms, such as probabilistic roadmaps (PRM) and rapidly exploring random trees (RRT), have been shown to work well in practice and possess theoretical guarantees such as probabilistic completeness. However, little effort has been devoted to the formal analysis of the quality of the solution returned by such algorithms, e.g. as a function of the number of samples. The purpose of this paper is to fill this gap, by rigorously analyzing the asymptotic behavior of the cost of the solution returned by stochastic sampling-based algorithms as the number of samples increases. A number of negative results are provided, characterizing existing algorithms, e.g. showing that, under mild technical conditions, the cost of the solution returned by broadly used sampling-based algorithms converges almost surely to a non-optimal value. The main contribution of the paper is the introduction of new algorithms, namely, PRM* and RRT* , which are provably asymptotically optimal, i.e. such that the cost of the returned solution converges almost surely to the optimum. Moreover, it is shown that the computational complexity of the new algorithms is within a constant factor of that of their probabilistically complete (but not asymptotically optimal) counterparts. The analysis in this paper hinges on novel connections between stochastic sampling-based path planning algorithms and the theory of random geometric graphs.",How to solve motion planning substrate problems for robot or embodied agents under long-horizon constraints.,"Introduces a planning, control, or robot reasoning mechanism related to long-horizon decision making.",The abstraction used by the planner is sufficiently faithful during execution.,"State variables, actions, observation model, and cost semantics.",Physical branch conditions not represented in the planning abstraction.,"General planning substrate, terminology, or benchmark context.",Physically grounded branch conditions embedded directly in task-motion skeletons.
57,hostile_100+deep_225+serious_300+landscape_1000,57,OpenAlex,https://openalex.org/W2942559300,,10.1109/icra40945.2020.9197574,Anytime Integrated Task and Motion Policies for Stochastic Environments,2020,,Naman Shah; Deepak Kala Vasudevan; K. Kalyan Kumar; Pranav Kamojjhala; Siddharth Srivastava,https://doi.org/10.1109/icra40945.2020.9197574,3,30.218,contingent and nondeterministic planning,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | Integrated Task and Motion Planning in Belief Space | STRIPStream Integrating Symbolic Planners and Blackbox Samplers | STRIPStream task motion planning,"In order to solve complex, long-horizon tasks, intelligent robots need to carry out high-level, abstract planning and reasoning in conjunction with motion planning. However, abstract models are typically lossy and plans or policies computed using them can be unexecutable. These problems are exacerbated in stochastic situations where the robot needs to reason about, and plan for multiple contingencies. We present a new approach for integrated task and motion planning in stochastic settings. In contrast to prior work in this direction, we show that our approach can effectively compute integrated task and motion policies whose branching structures encoding agent behaviors handling multiple execution-time contingencies. We prove that our algorithm is probabilistically complete and can compute feasible solution policies in an anytime fashion so that the probability of encountering an unresolved contingency decreases over time. Empirical results on a set of challenging problems show the utility and scope of our methods.",How to solve contingent and nondeterministic planning problems for robot or embodied agents under long-horizon constraints.,Builds conditional plans or policies over symbolic observations and nondeterministic outcomes.,"Branch variables are symbolic, enumerated, and available as planner observations.","Observation alphabet, state abstraction, action outcomes, and sensing model.","Continuous geometric tests, contact/clearance regimes, and physical certificates produced by motion planning.",Generic conditional policy construction over discrete observations.,Lifting continuous physical guard predicates into a skeleton-level object usable by TAMP.
58,hostile_100+deep_225+serious_300+landscape_1000,58,OpenAlex,https://openalex.org/W7133022992,,,Robotic manipulation with pick and place task constructors,2026,UPCommons institutional repository (Universitat Politecnica de Catalunya),Albert Llufriu Lopez,https://hdl.handle.net/2117/456363,0,30.2,behavior trees and reactive execution,TAMP robot manipulation planning,"Robotic systems operating in real-world environments are required to perform complex tasks that combine high-level decision making with low-level motion execution. Addressing these requirements calls for approaches that integrate symbolic task planning, geometric motion planning, and execution control. This thesis presents a framework for generating and executing Behavior Trees from a Task and Motion Planning (TAMP) problem, enabling structured and reactive execution of manipulation tasks. The proposed framework integrates symbolic task planning, motion planning, and execution using Behavior Trees with replanning capabilities. Task planning problems def inedinPlanningDomainDefinitionLanguage(PDDL)aresolvedtoobtainasequence of actions, from which the corresponding Behavior Tree is generated. Geometric informationabouttheenvironmentisthenextracted, andmotionplanningsolutionsforeach action are computed using the The Kautham Project tools. The nodes of the Behavior Tree responsible for controlling the robots movements access the computed trajectories to execute the actions within a Gazebo simulated environment. An execution module runs the generated Behavior Tree in a simulated Gazebo environment, while astate monitoring componentdetects inconsistencies between expected and perceived states and triggers replanning when necessary. The framework is validated through simulation of a pick-and-place manipulation task using the TIAGo Dual robot in a kitchen environment. In addition, a more specific approach for pick and place actions based on MoveIt 2 and the MoveIt Task Constructor is implemented. A comparative discussion highlights the trade-offs between the two approaches in terms of functionality, integration complexity, and access to planned trajectories. The results demo...",How to solve behavior trees and reactive execution problems for robot or embodied agents under long-horizon constraints.,"Composes fallback, sequence, and condition nodes to execute reactive robot behaviors.",The tree structure and condition placement are supplied or locally learned rather than synthesized from TAMP alternatives.,"Node library, condition tests, fallback order, and recovery semantics.",Global sharing and dominance among many long-horizon alternatives; geometric proof obligations.,Reactive fallbacks and runtime condition checks as a representation pattern.,Automatic compilation of physical contingency skeletons from candidate task-motion plans.
59,hostile_100+deep_225+serious_300+landscape_1000,59,OpenAlex,https://openalex.org/W4312337612,,10.1609/icaps.v32i1.19811,Conflict-Directed Diverse Planning for Logic-Geometric Programming,2022,Proceedings of the International Conference on Automated Planning and Scheduling,Joaquim Ortiz-Haro; Erez Karpas; Marc Toussaint; Michael B. Katz,https://doi.org/10.1609/icaps.v32i1.19811,6,30.113,optimization / geometric-constraint TAMP,Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning | logic geometric programming robot planning,"Robots operating in the real world must combine task planning for reasoning about what to do with motion planning for reasoning about how to do it -- this is known as task and motion planning. One promising approach for task and motion planning is Logic Geometric Programming (LGP) which integrates a logical layer and a geometric layer in an optimization formulation. The logical layer describes feasible high-level actions at an abstract symbolic level, while the geometric layer uses continuous optimization methods to reason about motion trajectories with geometric constraints. In this paper we propose a new approach for solving task and motion planning problems in the LGP formulation, that leverages state-of-the-art diverse planning at the logical layer to explore the space of feasible logical plans, and minimizes the number of optimization problems to be solved on the continuous geometric layer. To this end, geometric infeasibility is fed back into planning by identifying prefix conflicts and incorporating this back into the planner through a novel multi-prefix forbidding compilation. We further leverage diverse planning with a new novelty criteria for selecting candidate plans based on the prefix novelty, and a metareasoning approach which attempts to extract only useful conflicts by leveraging the information that is gathered in the course of solving the given problem.",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
60,hostile_100+deep_225+serious_300+landscape_1000,60,OpenAlex,https://openalex.org/W4404407212,,10.48550/arxiv.2411.08253,Open-World Task and Motion Planning via Vision-Language Model Generated Constraints,2024,ArXiv.org,"Nishanth Kumar; Shen, William; Fabio Ramos; Dieter Fox; Lozano-Perez, Tomas; Kaelbling, Leslie Pack; Caelan Reed Garrett",http://arxiv.org/abs/2411.08253,0,30.0,long-horizon manipulation and rearrangement,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | STRIPStream Integrating Symbolic Planners and Blackbox Samplers | STRIPStream task motion planning | TAMP robot manipulation planning,"Foundation models like Vision-Language Models (VLMs) excel at common sense vision and language tasks such as visual question answering. However, they cannot yet directly solve complex, long-horizon robot manipulation problems requiring precise continuous reasoning. Task and Motion Planning (TAMP) systems can handle long-horizon reasoning through discrete-continuous hybrid search over parameterized skills, but rely on detailed environment models and cannot interpret novel human objectives, such as arbitrary natural language goals. We propose integrating VLMs into TAMP systems by having them generate discrete and continuous language-parameterized constraints that enable open-world reasoning. Specifically, we use VLMs to generate discrete action ordering constraints that constrain TAMP search over action sequences, and continuous constraints in the form of code that augments traditional TAMP manipulation constraints. Experiments show that our approach, OWL-TAMP, outperforms baselines relying solely on TAMP or VLMs across several long-horizon manipulation tasks specified directly in natural language. We additionally demonstrate that OWL-TAMP can be deployed with an off-the-shelf TAMP system to solve challenging manipulation tasks on real-world hardware.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
61,hostile_100+deep_225+serious_300+landscape_1000,61,OpenAlex,https://openalex.org/W1852202999,,10.1007/978-3-319-16595-0_11,FFRob: An Efficient Heuristic for Task and Motion Planning,2015,Springer tracts in advanced robotics,Caelan Reed Garrett; Tomas LozanoPerez; Leslie Pack Kaelbling,https://doi.org/10.1007/978-3-319-16595-0_11,124,29.925,sampling-based TAMP,integrated task and motion planning manipulation,,How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
62,hostile_100+deep_225+serious_300+landscape_1000,62,OpenAlex,https://openalex.org/W3009344409,,10.3390/app10051665,Contingent Task and Motion Planning under Uncertainty for HumanRobot Interactions,2020,Applied Sciences,Aliakbar Akbari; Mohammed Diab; Jan Rosell,https://doi.org/10.3390/app10051665,15,29.836,contingent and nondeterministic planning,contingent planning robot execution | task and motion planning robotics,"Manipulation planning under incomplete information is a highly challenging task for mobile manipulators. Uncertainty can be resolved by robot perception modules or using human knowledge in the execution process. Human operators can also collaborate with robots for the execution of some difficult actions or as helpers in sharing the task knowledge. In this scope, a contingent-based task and motion planning is proposed taking into account robot uncertainty and humanrobot interactions, resulting a tree-shaped set of geometrically feasible plans. Different sorts of geometric reasoning processes are embedded inside the planner to cope with task constraints like detecting occluding objects when a robot needs to grasp an object. The proposal has been evaluated with different challenging scenarios in simulation and a real environment.",How to solve contingent and nondeterministic planning problems for robot or embodied agents under long-horizon constraints.,Builds conditional plans or policies over symbolic observations and nondeterministic outcomes.,"Branch variables are symbolic, enumerated, and available as planner observations.","Observation alphabet, state abstraction, action outcomes, and sensing model.","Continuous geometric tests, contact/clearance regimes, and physical certificates produced by motion planning.",Generic conditional policy construction over discrete observations.,Lifting continuous physical guard predicates into a skeleton-level object usable by TAMP.
63,hostile_100+deep_225+serious_300+landscape_1000,63,OpenAlex,https://openalex.org/W4211048400,,10.3389/frobt.2022.713470,Primitive Action Based Combined Task and Motion Planning for the Service Robot,2022,Frontiers in Robotics and AI,Jeongmin Jeon; Hong-ryul Jung; Francisco Yumbla; Tuan Anh Luong; Hyungpil Moon,https://doi.org/10.3389/frobt.2022.713470,17,29.825,belief-space and uncertain planning,task and motion planning robotics,"The need for combined task and motion planning (CTAMP) in robotics is well known as robotic technologies become more mature. The goal of CTAMP is to determine a proper sequence of a robot's actions based on symbolic and geometric reasoning. Because of the fundamental difference in symbolic and geometric reasoning, a CTAMP system often requires an interface module between the two reasoning modules. We propose a CTAMP system in which a symbolic action sequence is generated in task planning, and each action is verified geometrically in motion planning using the off-the-shelf planners and reasoners. The approach is that a set of action models is defined with PDDL in the interface module (action library) and the required information to each planner is automatically provided by the interface module. The proposed method was successfully implemented in three simulated experiments that involve manipulation tasks. According to our findings, the proposed method is effective in responding to changes in the environment and uncertainty with errors in recognition of the environment and the robot motion control.",How to solve belief-space and uncertain planning problems for robot or embodied agents under long-horizon constraints.,"Plans in belief or information space, often optimizing expected cost or chance constraints.",Probabilistic models are calibrated and solving the belief policy is tractable for the horizon.,"Prior distributions, observation likelihoods, utility model, and state estimator.",Deterministic but latent physical regimes that can be handled by cheap guard tests instead of full belief optimization.,Probabilistic formulations of uncertainty-aware TAMP.,Non-probabilistic guard coverage and compact branch sharing for long-horizon physical tasks.
64,hostile_100+deep_225+serious_300+landscape_1000,64,OpenAlex,https://openalex.org/W2135319191,,10.1177/0278364914545811,Efficiently combining task and motion planning using geometric constraints,2014,The International Journal of Robotics Research,Fabien Lagriffoul; Dimitar Dimitrov; Julien Bidot; Alessandro Saffiotti; Lars Karlsson,https://doi.org/10.1177/0278364914545811,110,29.735,optimization / geometric-constraint TAMP,task and motion planning robotics,"We propose a constraint-based approach to address a class of problems encountered in combined task and motion planning (CTAMP), which we call kinematically constrained problems. CTAMP is a hybrid planning process in which task planning and geometric reasoning are interleaved. During this process, symbolic action sequences generated by a task planner are geometrically evaluated. This geometric evaluation is a search problem per se, which we refer to as geometric backtrack search. In kinematically constrained problems, a significant computational effort is spent on geometric backtrack search, which impairs search at the task level. At the basis of our approach to address this problem, is the introduction of an intermediate layer between task planning and geometric reasoning. A set of constraints is automatically generated from the symbolic action sequences to evaluate, and combined with a set of constraints derived from the kinematic model of the robot. The resulting constraint network is then used to prune the search space during geometric backtrack search. We present experimental evidence that our approach significantly reduces the complexity of geometric backtrack search on various types of problem.",How to solve optimization / geometric-constraint TAMP problems for robot or embodied agents under long-horizon constraints.,Optimizes continuous trajectories under logical/geometric constraints induced by a task sequence or switching structure.,The relevant mode sequence or constraint family can be committed to early enough for nonlinear optimization.,"Contact modes, constraint graph, objective weights, and observability of feasibility conditions.",Discrete physical branches that should alter the high-level skeleton before failure.,Optimization over hybrid mode sequences and constraint-consistent trajectories.,Guarded sharing among alternative mode sequences driven by measurable branch conditions.
65,hostile_100+deep_225+serious_300+landscape_1000,65,OpenAlex,https://openalex.org/W4387934905,,10.1109/lra.2023.3327657,PROTAMP-RRT: A Probabilistic Integrated Task and Motion Planner Based on RRT,2023,IEEE Robotics and Automation Letters,Alessio Saccuti; Riccardo Monica; Jacopo Aleotti,https://doi.org/10.1109/lra.2023.3327657,9,29.684,long-horizon manipulation and rearrangement,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning | integrated task and motion planning manipulation | stream based task and motion planning,"Solving complex robot manipulation tasks requires a Task and Motion Planner (TAMP) that searches for a sequence of symbolic actions, i.e. a task plan, and also computes collision-free motion paths. As the task planner and the motion planner are closely interconnected TAMP is considered a challenging problem. In this paper, a Probabilistic Integrated Task and Motion Planner (PROTAMP-RRT) is presented. The proposed method is based on a unified Rapidly-exploring Random Tree (RRT) that operates on both the geometric space and the symbolic space. The RRT is guided by the task plan and it is enhanced with a probabilistic model that estimates the probability of sampling a new robot configuration towards the next sub-goal of the task plan. When the RRT is extended, the probabilistic model is updated alongside. The probabilistic model is used to generate a new task plan if the feasibility of the previous one is unlikely. The performance of PROTAMP-RRT was assessed in simulated pick-and-place tasks, and it was compared against state-of-the-art approaches TM-RRT and Planet, showing better performance.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
