rank,stage,hostile_rank,source,openalex_id,arxiv_id,doi,title,year,venue,authors,url,cited_by_count,relevance_score,cluster,query_hits,abstract,problem_claimed,actual_mechanism_introduced,hidden_assumptions,variables_treated_as_fixed,failure_modes_ignored,what_it_makes_less_novel,what_it_leaves_open
122,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4321650098,,10.48550/arxiv.2302.11491,A Supervisory Learning Control Framework for Autonomous &amp; Real-time Task Planning for an Underactuated Cooperative Robotic task,2023,arXiv (Cornell University),Sander De Witte; Tom Lefebvre; Thijs Van Hauwermeiren; Guillaume Crevecoeur,http://arxiv.org/abs/2302.11491,0,26.2,long-horizon manipulation and rearrangement,TAMP robot manipulation planning,"We introduce a framework for cooperative manipulation, applied on an underactuated manipulation problem. Two stationary robotic manipulators are required to cooperate in order to reposition an object within their shared work space. Control of multi-agent systems for manipulation tasks cannot rely on individual control strategies with little to no communication between the agents that serve the common objective through swarming. Instead a coordination strategy is required that queries subtasks to the individual agents. We formulate the problem in a Task And Motion Planning (TAMP) setting, while considering a decomposition strategy that allows us to treat the task and motion planning problems separately. We solve the supervisory planning problem offline using deep Reinforcement Learning techniques resulting into a supervisory policy capable of coordinating the two manipulators into a successful execution of the pick-and-place task. Additionally, a benefit of solving the task planning problem offline is the possibility of real-time (re)planning, demonstrating robustness in the event of subtask execution failure or on-the-fly task changes. The framework achieved zero-shot deployment on the real setup with a success rate that is higher than 90%.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
123,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4416078179,,10.1109/lra.2025.3631357,Anticipatory Task and Motion Planning: Improved Rearrangement in Persistent Continuous-Space Environments,2025,IEEE Robotics and Automation Letters,Roshan Dhakal; Duc M. Nguyen; Tom Silver; Xuesu Xiao; G. Stein,https://doi.org/10.1109/lra.2025.3631357,0,26.2,long-horizon manipulation and rearrangement,TAMP robot manipulation planning,"We consider a sequential task and motion planning (<sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">tamp</small>) setting in which a robot is assigned continuous-space rearrangement-style tasks one-at-a-time in an environment that persists between each. Lacking advance knowledge of future tasks, existing (myopic) planning strategies unwittingly introduce side effects that impede completion of subsequent tasks: e.g., by blocking future access or manipulation. We present <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">anticipatory task and motion planning</i>, in which estimates of expected future cost from a learned model inform selection of plans generated by a model-based <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">tamp</small> planner so as to avoid such side effects, choosing configurations of the environment that both complete the task and reduce overall cost. Simulated many-task deployments in navigation-among-movable-obstacles and cabinet-loading domains yield improvements of 32.7% and 16.7% average per-task cost respectively. When given time in advance to <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">prepare</i> the environment, our learning-augmented planning approach yields improvements of 83.1% and 22.3%. Finally, we also demonstrate anticipatory <sc xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">tamp</small> on a real-world Fetch mobile manipulator.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
124,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4388020377,,10.1007/s10514-023-10148-y,Multi-robot geometric task-and-motion planning for collaborative manipulation tasks,2023,Autonomous Robots,Hejia Zhang; Shao-Hung Chan; Jie Zhong; Jiaoyang Li; Peter Kolapo; Sven Koenig; Z. Agioutantis; Steven Schafrik,https://doi.org/10.1007/s10514-023-10148-y,12,26.104,long-horizon manipulation and rearrangement,Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning | integrated task and motion planning manipulation | logic geometric programming robot planning | long horizon robot manipulation planning | robot rearrangement planning long horizon | stream based task and motion planning | task and motion planning robotics,"Abstract We address multi-robot geometric task-and-motion planning (MR-GTAMP) problems in synchronous , monotone setups. The goal of the MR-GTAMP problem is to move objects with multiple robots to goal regions in the presence of other movable objects. We focus on collaborative manipulation tasks where the robots have to adopt intelligent collaboration strategies to be successful and effective, i.e., decide which robot should move which objects to which positions, and perform collaborative actions, such as handovers. To endow robots with these collaboration capabilities, we propose to first collect occlusion and reachability information for each robot by calling motion-planning algorithms. We then propose a method that uses the collected information to build a graph structure which captures the precedence of the manipulations of different objects and supports the implementation of a mixed-integer program to guide the search for highly effective collaborative task-and-motion plans. The search process for collaborative task-and-motion plans is based on a Monte-Carlo Tree Search (MCTS) exploration strategy to achieve exploration-exploitation balance. We evaluate our framework in two challenging MR-GTAMP domains and show that it outperforms two state-of-the-art baselines with respect to the planning time, the resulting plan length and the number of objects moved. We also show that our framework can be applied to underground mining operations where a robotic arm needs to coordinate with an autonomous roof bolter. We demonstrate plan execution in two roof-bolting scenarios both in simulation and on robots.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
125,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4362663195,,10.1016/j.cogr.2023.04.001,"Artificial intelligence, machine learning and deep learning in advanced robotics, a review",2023,Cognitive Robotics,Mohsen Soori; Behrooz Arezoo; Roza Dastres,https://doi.org/10.1016/j.cogr.2023.04.001,1029,26.1,long-horizon manipulation and rearrangement,A Survey of Behavior Trees in Robotics and AI | Robotics Task and Motion Planning A Survey | behavior trees robotics manipulation | integrated task and motion planning manipulation | task and motion planning robotics,"Artificial Intelligence (AI), Machine Learning (ML), and Deep Learning (DL) have revolutionized the field of advanced robotics in recent years. AI, ML, and DL are transforming the field of advanced robotics, making robots more intelligent, efficient, and adaptable to complex tasks and environments. Some of the applications of AI, ML, and DL in advanced robotics include autonomous navigation, object recognition and manipulation, natural language processing, and predictive maintenance. These technologies are also being used in the development of collaborative robots (cobots) that can work alongside humans and adapt to changing environments and tasks. The AI, ML, and DL can be used in advanced transportation systems in order to provide safety, efficiency, and convenience to the passengers and transportation companies . Also, the AI, ML, and DL are playing a critical role in the advancement of manufacturing assembly robots, enabling them to work more efficiently, safely, and intelligently. Furthermore, they have a wide range of applications in aviation management, helping airlines to improve efficiency, reduce costs, and improve customer satisfaction. Moreover, the AI, ML, and DL can help taxi companies in order to provide better, more efficient, and safer services to customers. The research presents an overview of current developments in AI, ML, and DL in advanced robotics systems and discusses various applications of the systems in robot modification. Further research works regarding the applications of AI, ML, and DL in advanced robotics systems are also suggested in order to fill the gaps between the existing studies and published papers. By reviewing the applications of AI, ML, and DL in advanced robotics systems, it is possible to investigate and modify the perform...",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
126,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W3113025168,,10.48550/arxiv.2012.07277,Hierarchical Planning for Long-Horizon Manipulation with Geometric and Symbolic Scene Graphs,2020,arXiv (Cornell University),Yifeng Zhu; Jonathan Tremblay; Stan Birchfield; Yuke Zhu,http://arxiv.org/abs/2012.07277,82,26.07,long-horizon manipulation and rearrangement,Hierarchical Task and Motion Planning in the Now | Logic-Geometric Programming An Optimization-Based Approach to Combined Task and Motion Planning | PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning | conditional planning robotics manipulation | logic geometric programming robot planning | long horizon robot manipulation planning,"We present a visually grounded hierarchical planning algorithm for long-horizon manipulation tasks. Our algorithm offers a joint framework of neuro-symbolic task planning and low-level motion generation conditioned on the specified goal. At the core of our approach is a two-level scene graph representation, namely geometric scene graph and symbolic scene graph. This hierarchical representation serves as a structured, object-centric abstraction of manipulation scenes. Our model uses graph neural networks to process these scene graphs for predicting high-level task plans and low-level motions. We demonstrate that our method scales to long-horizon tasks and generalizes well to novel task goals. We validate our method in a kitchen storage task in both physical simulation and the real world. Our experiments show that our method achieved over 70% success rate and nearly 90% of subgoal completion rate on the real robot while being four orders of magnitude faster in computation time compared to standard search-based task-and-motion planner.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction. Learned components are assumed to generalize over the branch regimes considered.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
127,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4285741752,,10.1109/lra.2022.3191944,Path-Tree Optimization in Discrete Partially Observable Environments Using Rapidly-Exploring Belief-Space Graphs,2022,IEEE Robotics and Automation Letters,Camille Phiquepal; Andreas Orthey; Nicolas Viennot; Marc Toussaint,https://doi.org/10.1109/lra.2022.3191944,5,26.067,long-horizon manipulation and rearrangement,TAMP robot manipulation planning,"Robots often need to solve path planning problems where essential and discrete aspects of the environment are partially observable. This introduces a multi-modality, where the robot must be able to observe and infer the state of its environment. To tackle this problem, we introduce the Path-Tree Optimization (PTO) algorithm which plans a <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">path-tree</i> in belief-space. A path-tree is a tree-like motion with branching points where the robot receives an observation leading to a belief-state update. The robot takes different branches depending on the observation received. The algorithm assumes a deterministic observation model and is composed of three main steps. First, a rapidly-exploring random graph (RRG) on the state space is grown. Second, the RRG is expanded to a belief-space graph by querying the observation model. In a third step, dynamic programming is performed on the belief-space graph to extract a path-tree. The resulting path-tree combines exploration with exploitation i.e. it balances the need for gaining knowledge about the environment with the need for reaching the goal. We demonstrate the algorithm capabilities on navigation and mobile manipulation tasks, and show its advantage over a baseline using a task and motion planning approach (TAMP) both in terms of optimality and runtime.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
128,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W3207735868,,10.1145/3485114.3485122,The new analog: A protocol for linking design and construction intent with algorithmic planning for robotic assembly of complex structures,2021,,Yijiang Huang; Pok Yin Victor Leung; Caelan Reed Garrett; Fabio Gramazio; Matthias Kohler; Caitlin Mueller,https://doi.org/10.1145/3485114.3485122,7,25.927,motion planning substrate,PDDLStream Integrating Symbolic Planners and Blackbox Samplers | PDDLStream robotics planning | TAMP robot manipulation planning,"Construction robotics are increasingly popular in the architectural fabrication community due to their accuracy and flexibility. Because of their high degree of motion freedom, these tools are able to assemble complex structures with irregular designs, which advances architectural aesthetics and structural performance. However, automated task and motion planning (TAMP) for a robot to assemble non-repetitive objects can be challenging due to (1) a non-repetitive assembly pattern (2) the need for a continuous robotic motion throughout a sequence of movement (3) a congested construction scene and (4) occasional robot configuration constraints due to taught positions. Recent work has already begun to address these challenges for repetitive assembly processes, where the robot repeats a pattern of primitive behaviors (e.g. brick stacking or spatial extrusion). Yet, there are many assembly processes that can benefit from a non-repetitive pattern. For example, processes can change tools on an element-by-element level to accommodate a wider range of geometry.",How to solve motion planning substrate problems for robot or embodied agents under long-horizon constraints.,"Introduces a planning, control, or robot reasoning mechanism related to long-horizon decision making.",The abstraction used by the planner is sufficiently faithful during execution.,"State variables, actions, observation model, and cost semantics.",Physical branch conditions not represented in the planning abstraction.,"General planning substrate, terminology, or benchmark context.",Physically grounded branch conditions embedded directly in task-motion skeletons.
129,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4390905001,,10.1109/lra.2024.3354548,Contingency Games for Multi-Agent Interaction,2024,IEEE Robotics and Automation Letters,Lasse Peters; Andrea Bajcsy; Chih-Yuan Chiu; David Fridovich-Keil; Forrest Laine; Laura Ferranti; Javier AlonsoMora,https://doi.org/10.1109/lra.2024.3354548,18,25.911,contingent and nondeterministic planning,contingency planning robotics,"Contingency planning, wherein an agent generates a set of possible plans conditioned on the outcome of an uncertain event, is an increasingly popular way for robots to act under uncertainty. In this work we take a game-theoretic perspective on contingency planning, tailored to multi-agent scenarios in which a robot's actions impact the decisions of other agents and vice versa. The resulting <italic xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">contingency game</i> allows the robot to efficiently interact with other agents by generating strategic motion plans conditioned on multiple possible intents for other actors in the scene. Contingency games are parameterized via a scalar variable which represents a future time when intent uncertainty will be resolved. By estimating this parameter online, we construct a game-theoretic motion planner that adapts to changing beliefs while anticipating future certainty. We show that existing variants of game-theoretic planning under uncertainty are readily obtained as special cases of contingency games. Through a series of simulated autonomous driving scenarios, we demonstrate that contingency games close the gap between certainty-equivalent games that commit to a single hypothesis and non-contingent multi-hypothesis games that do not account for future uncertainty reduction.",How to solve contingent and nondeterministic planning problems for robot or embodied agents under long-horizon constraints.,Builds conditional plans or policies over symbolic observations and nondeterministic outcomes.,"Branch variables are symbolic, enumerated, and available as planner observations.","Observation alphabet, state abstraction, action outcomes, and sensing model.","Continuous geometric tests, contact/clearance regimes, and physical certificates produced by motion planning.",Generic conditional policy construction over discrete observations.,Lifting continuous physical guard predicates into a skeleton-level object usable by TAMP.
130,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W2569589396,,10.48550/arxiv.1701.00287,STRIPS Planning in Infinite Domains,2017,arXiv (Cornell University),Caelan Reed Garrett; Tomas LozanoPerez; Leslie Pack Kaelbling,http://arxiv.org/abs/1701.00287,8,25.716,sampling-based TAMP,STRIPStream task motion planning,"Many robotic planning applications involve continuous actions with highly non-linear constraints, which cannot be modeled using modern planners that construct a propositional representation. We introduce STRIPStream: an extension of the STRIPS language which can model these domains by supporting the specification of blackbox generators to handle complex constraints. The outputs of these generators interact with actions through possibly infinite streams of objects and static predicates. We provide two algorithms which both reduce STRIPStream problems to a sequence of finite-domain planning problems. The representation and algorithms are entirely domain independent. We demonstrate our framework on simple illustrative domains, and then on a high-dimensional, continuous robotic task and motion planning domain.",How to solve sampling-based TAMP problems for robot or embodied agents under long-horizon constraints.,"Couples symbolic action search to black-box continuous samplers, often by optimistic streams or sampled geometric certificates.",Symbolic predicates are meaningful; sampled feasibility is an adequate proxy; a single linear skeleton can be repaired by more sampling.,"Action vocabulary, stream interfaces, object identities, geometry model, and success/failure semantics.",Observation-triggered branch timing; irreversible physical side effects; guard variables that are cheap to test before commitment.,Simple integration of symbolic planners and motion samplers; optimistic linear skeleton search.,A compact representation of multiple physically conditioned skeletons without enumerating full belief policies.
131,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W1963549352,,10.1109/iros.2012.6385888,An integrated system for autonomous robotics manipulation,2012,,J. Andrew Bagnell; Felipe Lira de Sa Cavalcanti; Lei Cui; Thomas Galluzzo; Martial Hebert; Moslem Kazemi; Matthew Klingensmith; Jacqueline Libby,https://doi.org/10.1109/iros.2012.6385888,120,25.673,behavior trees and reactive execution,A Constraint-Based Approach to Integrated Task and Motion Planning | A Survey of Behavior Trees in Robotics and AI | behavior trees robotics manipulation | integrated task and motion planning manipulation | logic geometric programming robot planning,"We describe the software components of a robotics system designed to autonomously grasp objects and perform dexterous manipulation tasks with only high-level supervision. The system is centered on the tight integration of several core functionalities, including perception, planning and control, with the logical structuring of tasks driven by a Behavior Tree architecture. The advantage of the implementation is to reduce the execution time while integrating advanced algorithms for autonomous manipulation. We describe our approach to 3-D perception, real-time planning, force compliant motions, and audio processing. Performance results for object grasping and complex manipulation tasks of in-house tests and of an independent evaluation team are presented.",How to solve behavior trees and reactive execution problems for robot or embodied agents under long-horizon constraints.,"Composes fallback, sequence, and condition nodes to execute reactive robot behaviors.",The tree structure and condition placement are supplied or locally learned rather than synthesized from TAMP alternatives.,"Node library, condition tests, fallback order, and recovery semantics.",Global sharing and dominance among many long-horizon alternatives; geometric proof obligations.,Reactive fallbacks and runtime condition checks as a representation pattern.,Automatic compilation of physical contingency skeletons from candidate task-motion plans.
132,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W2900747027,,10.48550/arxiv.1811.08955,Integrating Task-Motion Planning with Reinforcement Learning for Robust Decision Making in Mobile Robots,2018,arXiv (Cornell University),Yuqian Jiang; Fangkai Yang; Shiqi Zhang; Peter Stone,http://arxiv.org/abs/1811.08955,10,25.637,belief-space and uncertain planning,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | Integrated Task and Motion Planning in Belief Space | task and motion planning robotics,"Task-motion planning (TMP) addresses the problem of efficiently generating executable and low-cost task plans in a discrete space such that the (initially unknown) action costs are determined by motion plans in a corresponding continuous space. However, a task-motion plan can be sensitive to unexpected domain uncertainty and changes, leading to suboptimal behaviors or execution failures. In this paper, we propose a novel framework, TMP-RL, which is an integration of TMP and reinforcement learning (RL) from the execution experience, to solve the problem of robust task-motion planning in dynamic and uncertain domains. TMP-RL features two nested planning-learning loops. In the inner TMP loop, the robot generates a low-cost, feasible task-motion plan by iteratively planning in the discrete space and updating relevant action costs evaluated by the motion planner in continuous space. In the outer loop, the plan is executed, and the robot learns from the execution experience via model-free RL, to further improve its task-motion plans. RL in the outer loop is more accurate to the current domain but also more expensive, and using less costly task and motion planning leads to a jump-start for learning in the real world. Our approach is evaluated on a mobile service robot conducting navigation tasks in an office area. Results show that TMP-RL approach significantly improves adaptability and robustness (in comparison to TMP methods) and leads to rapid convergence (in comparison to task planning (TP)-RL methods). We also show that TMP-RL can reuse learned values to smoothly adapt to new scenarios during long-term deployments.",How to solve belief-space and uncertain planning problems for robot or embodied agents under long-horizon constraints.,"Plans in belief or information space, often optimizing expected cost or chance constraints.",Probabilistic models are calibrated and solving the belief policy is tractable for the horizon. Learned components are assumed to generalize over the branch regimes considered.,"Prior distributions, observation likelihoods, utility model, and state estimator.",Deterministic but latent physical regimes that can be handled by cheap guard tests instead of full belief optimization.,Probabilistic formulations of uncertainty-aware TAMP.,Non-probabilistic guard coverage and compact branch sharing for long-horizon physical tasks.
133,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W1578905311,,,Integrated robot task and motion planning in belief space,2012,DSpace@MIT (Massachusetts Institute of Technology),Leslie Pack Kaelbling; Tomas LozanoPerez,http://hdl.handle.net/1721.1/71529,3,25.618,belief-space and uncertain planning,Integrated Task and Motion Planning in Belief Space | integrated task and motion planning manipulation,"In this paper, we describe an integrated strategy for planning, perception, state-estimation and action in complex mobile manipulation domains. The strategy is based on planning in the belief space of probability distribution over states. Our planning approach is based on hierarchical goal regression (pre-image back-chaining). We develop a vocabulary of fluents that describe sets of belief states, which are goals and subgoals in the planning process. We show that a relatively small set of symbolic operators lead to task-oriented perception in support of the manipulation goals. An implementation of this method is demonstrated in simulation and on a real PR2 robot, showing robust, flexible solution of mobile manipulation problems with multiple objects and substantial uncertainty. 1",How to solve belief-space and uncertain planning problems for robot or embodied agents under long-horizon constraints.,"Plans in belief or information space, often optimizing expected cost or chance constraints.",Probabilistic models are calibrated and solving the belief policy is tractable for the horizon.,"Prior distributions, observation likelihoods, utility model, and state estimator.",Deterministic but latent physical regimes that can be handled by cheap guard tests instead of full belief optimization.,Probabilistic formulations of uncertainty-aware TAMP.,Non-probabilistic guard coverage and compact branch sharing for long-horizon physical tasks.
134,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W2762248135,,10.1109/tro.2017.2723903,"Robot Collisions: A Survey on Detection, Isolation, and Identification",2017,IEEE Transactions on Robotics,Sami Haddadin; Alessandro De Luca; Alin AlbuSchaffer,https://doi.org/10.1109/tro.2017.2723903,755,25.605,long-horizon manipulation and rearrangement,Robotics Task and Motion Planning A Survey | execution monitoring robot planning | failure recovery robot task planning | long horizon robot manipulation planning | task and motion planning robotics,"Robot assistants and professional coworkers are becoming a commodity in domestic and industrial settings. In order to enable robots to share their workspace with humans and physically interact with them, fast and reliable handling of possible collisions on the entire robot structure is needed, along with control strategies for safe robot reaction. The primary motivation is the prevention or limitation of possible human injury due to physical contacts. In this survey paper, based on our early work on the subject, we review, extend, compare, and evaluate experimentally model-based algorithms for real-time collision detection, isolation, and identification that use only proprioceptive sensors. This covers the context-independent phases of the collision event pipeline for robots interacting with the environment, as in physical humanrobot interaction or manipulation tasks. The problem is addressed for rigid robots first and then extended to the presence of joint/transmission flexibility. The basic physically motivated solution has already been applied to numerous robotic systems worldwide, ranging from manipulators and humanoids to flying robots, and even to commercial products.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Organizes and categorizes prior methods rather than introducing one executable mechanism.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,The field taxonomy and known limitation map.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
135,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4385261080,,10.48550/arxiv.2307.11889,Symbolic State Space Optimization for Long Horizon Mobile Manipulation Planning,2023,arXiv (Cornell University),Xiaohan Zhang; Yifeng Zhu; Yan Ding; Yuqian Jiang; Yuke Zhu; Peter Stone; Shiqi Zhang,http://arxiv.org/abs/2307.11889,0,25.6,long-horizon manipulation and rearrangement,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | TAMP robot manipulation planning,"In existing task and motion planning (TAMP) research, it is a common assumption that experts manually specify the state space for task-level planning. A well-developed state space enables the desirable distribution of limited computational resources between task planning and motion planning. However, developing such task-level state spaces can be non-trivial in practice. In this paper, we consider a long horizon mobile manipulation domain including repeated navigation and manipulation. We propose Symbolic State Space Optimization (S3O) for computing a set of abstracted locations and their 2D geometric groundings for generating task-motion plans in such domains. Our approach has been extensively evaluated in simulation and demonstrated on a real mobile manipulator working on clearing up dining tables. Results show the superiority of the proposed method over TAMP baselines in task completion rate and execution time.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
136,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4415248975,,10.48550/arxiv.2505.03725,Meta-Optimization and Program Search using Language Models for Task and Motion Planning,2025,ArXiv.org,Denis Shcherba; Eckart Cobo-Briesewitz; Cornelius V. Braun; Marc Toussaint,http://arxiv.org/abs/2505.03725,0,25.6,long-horizon manipulation and rearrangement,FFRob Leveraging Symbolic Planning for Efficient Task and Motion Planning | FFRob symbolic geometric planning | TAMP robot manipulation planning,"Intelligent interaction with the real world requires robotic agents to jointly reason over high-level plans and low-level controls. Task and motion planning (TAMP) addresses this by combining symbolic planning and continuous trajectory generation. Recently, foundation model approaches to TAMP have presented impressive results, including fast planning times and the execution of natural language instructions. Yet, the optimal interface between high-level planning and low-level motion generation remains an open question: prior approaches are limited by either too much abstraction (e.g., chaining simplified skill primitives) or a lack thereof (e.g., direct joint angle prediction). Our method introduces a novel technique employing a form of meta-optimization to address these issues by: (i) using program search over trajectory optimization problems as an interface between a foundation model and robot control, and (ii) leveraging a zero-order method to optimize numerical parameters in the foundation model output. Results on challenging object manipulation and drawing tasks confirm that our proposed method improves over prior TAMP approaches.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
137,deep_225+serious_300+landscape_1000,,OpenAlex,https://openalex.org/W4312340796,,10.1109/access.2022.3232130,Local and Global Search-Based Planning for Object Rearrangement in Clutter,2022,IEEE Access,Jinhwi Lee; Changjoo Nam; Jong Hyeon Park; Changhwan Kim,https://doi.org/10.1109/access.2022.3232130,1,25.509,long-horizon manipulation and rearrangement,TAMP robot manipulation planning | robot rearrangement planning long horizon,"We propose two algorithms based on local and global searches for a Task and Motion Planning (TAMP) problem, which considers a robotic manipulator to rearrange obstacles and grasp a target in clutter. In the problem, no collision-free path for a robotic manipulator is available unless some obstacles blocking a target are relocated. The two algorithms determine the sequence of obstacles to be removed for grasping a target without collisions. The local search algorithm determines the sequence quickly in an online manner but could be suboptimal in the number of removed obstacles. The global search algorithm based on tree search needs upfront computation but runs in polynomial time. In numerical simulation settings, we consider objects in various shapes, which could make reachable directions bounded. From the simulations the planning time of local search algorithm is faster than that of global search, whereas the global search algorithm removes the less number of obstacles than the local search. In addition, we show that the global search algorithm with a heuristic cost is faster than without the cost but the minimum number of removed obstacles is still obtained from the global search algorithm without the heuristic cost. Practical experiments show the applicability of our algorithms in real environments.",How to solve long-horizon manipulation and rearrangement problems for robot or embodied agents under long-horizon constraints.,Searches or learns multi-step manipulation/rearrangement plans under geometric and object-interaction constraints.,"Failures are sparse, recoverable, or captured by the planner's current symbolic abstraction.","Object set, support relations, manipulation primitives, and environment model.",Early physical branch tests that change which multi-step skeleton should be followed.,Long-horizon domains and manipulation benchmarks as evidence settings.,"A branch-structured skeleton that scales with relevant physical tests, not horizon times full outcome space."
